Unique_id,Name,Street,City,State,Categories,Zip_Code
20cee4f6257b83bc5ec4084ef591ca42,Tiny Fork,167 Orchard St,New York,NY,"Seafood Restaurants, Restaurants",10002
c2ae21fe95f627cb74decb6c55288a41,Uptown Cottage,1748 2nd Ave,New York,NY,"Sushi Bars, Chinese Restaurants, Take Out Restaurants, Japanese Restaurants, Asian Restaurants, Restaurants",10128
40319aad6b09d45d8829f8b9108fcfb5,New Sunny East 88,1680 1st Ave,New York,NY,"Chinese Restaurants, Asian Restaurants, Take Out Restaurants, Caterers, Family Style Restaurants, Restaurants",10128
38f4abf2a83a10935432486394ce661b,Noodle Fun,1744 1st Ave,New York,NY,"Chinese Restaurants, Asian Restaurants, Restaurants",10128
beace1154b4f88e84ccb5ec1101dac0c,RCL Enterprises,14122 Rockaway Blvd,Jamaica,NY,"Caterers, Restaurants, Take Out Restaurants, American Restaurants, Caribbean Restaurants",11436
a2efa197af3ba3b2856aac0ee4e4026f,Alfanoose,8 Maiden Ln,New York,NY,"Middle Eastern Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants, Restaurants",10038
595038d8253104365794023c2ae6ada4,Roxy's E W Diner,20 John St,New York,NY,"American Restaurants, Coffee Shops, Restaurants",10038
5cc06b89b83fe886b063a828bdc33259,The East End Bar & Grill,1664 1st Ave,New York,NY,"Restaurants, Bar & Grills, Bars, Night Clubs, Brew Pubs, Taverns, Hamburgers & Hot Dogs",10028
fa423af69d5f51658b452d2eb4505898,Sandro's,306 E 81st St,New York,NY,"Italian Restaurants, Mediterranean Restaurants, Family Style Restaurants, Restaurants",10028
125da7860981ce202e2500b24f1364bf,Giovanni Venti Cinque Restaurant,25 E 83rd St Frnt 1,New York,NY,"Italian Restaurants, Mediterranean Restaurants, Seafood Restaurants, Restaurants",10028
f3ed06a94c2cd9f6a17883de7a39265f,China Taste,1570 2nd Ave,New York,NY,"Chinese Restaurants, Asian Restaurants, Take Out Restaurants, Restaurants",10028
bd76ffb211ed3ba08904aee6d238cc9e,African American Best Food Inc,410 Malcolm X Blvd Frnt 1,New York,NY,"African Restaurants, American Restaurants, Grocery Stores, Restaurants",10037
71993fc37e175c17402b477fd8a6bae9,Il Vagabondo Restnt,351 E 62nd St,New York,NY,"Family Style Restaurants, Italian Restaurants, Mediterranean Restaurants, Restaurants",10065
e7f4335650cdae419e523094085c715d,China Moon,1946 1st Ave,New York,NY,"Chinese Restaurants, Take Out Restaurants, Restaurants",10029
3320dbe760ee24d28bdaa05a837e1274,Great Wall,2234 1st Ave Frnt 1,New York,NY,"Chinese Restaurants, Seafood Restaurants, Asian Restaurants, Restaurants",10029
f588fedf8e2514569729015185e1b04e,Nocciola Ristorante,237 E 116th St,New York,NY,"Italian Restaurants, Restaurants",10029
f4db17033b55ea196fe4098118a85580,Chen Zeng Guan,2025 Adam Clayton Powell Jr Blvd,New York,NY,"Chinese Restaurants, Restaurants",10027
0f7ec8c077a8974d961b0f24aaf55625,Chuck E. Cheese's,280 Saint Nicholas Ave,New York,NY,"Pizza, Restaurants, Family Style Restaurants, Amusement Places & Arcades, Party Planning",10027
b26aa2d9381cd68480fc03898161107c,Jing Hui,255 W 148th St,New York,NY,"Chinese Restaurants, Family Style Restaurants, Take Out Restaurants, Restaurants",10039
a8978808f1ad9347ca76d54897f558ea,Wo Hop Kitchen,2923 Frederick Douglass Blvd,New York,NY,"Chinese Restaurants, Asian Restaurants, Restaurants",10039
a7e00c2f2803c1bb9b3e9ce7bb34a582,Ho Lee Restaurant,2493 Adam Clayton Powell Jr Blvd,New York,NY,"Chinese Restaurants, Family Style Restaurants, Asian Restaurants, Restaurants",10030
19574fec568dc0dc488f5a68fbc08586,Underground Pizza,3 Hanover Sq,New York,NY,"Pizza, Italian Restaurants, Sandwich Shops, Bakeries, Restaurants",10004
dfc76a60c0a34ef3f1a3112872f1bea5,Georgio's Pizzeria,20 Beaver St,New York,NY,"Italian Restaurants, Pizza, Pasta, Sandwich Shops, Health Food Restaurants, Take Out Restaurants, Mediterranean Restaurants, Restaurants",10004
113f453663af8a16db92ef77808df936,Wok Express,2133 3rd Ave Frnt 1,New York,NY,"Chinese Restaurants, Asian Restaurants, Take Out Restaurants, Restaurants",10035
